"x53" "x54" "x55" "x56" "x57" "x58" "x59" "x60" "x61" "x62" "x63" "x64" "x65" "x66" "x67" "x68" "x69" "x70" "x71"
"Fuscheria.terricola" 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"Gastrostyla.mystacea.minima" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gastrostyla.steinii" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gonostomum.affine" 1 1 0 1 1 0 0 1 0 1 1 1 1 0 0 0 0 1 0
"Gonostomum.algicola" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"Gonostomum.kuehnelti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gonostomum.namibiense.n..sp." 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"Gonostomum.strenuum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grossglockneria.acuta" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grossglockneria.hyalina" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Halteria.grandinella" 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0
"Hausmanniella.discoidea" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Hausmanniella.patella" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Hemiamphisiella.granulifera" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Hemiamphisiella.terricola" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Hemiamphisiella.wilberti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hemisincirra.gellerti.verrucosa" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Hemisincirra.inquieta" 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0
"Hemisincirra.namibiensis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hemisincirra.rariseta.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hemiurosoma.goertzi.n..sp." 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Hemiurosoma.terricola.n..sp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Holophrya.salinarum.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Holosticha.australis" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Holosticha.brachysticha.n..sp." 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Holosticha.stueberi" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Holosticha.tetracirrata" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Holostichides.terricola" 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Homalogastra.setosa" 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1
"Idiocolpoda.pelobia" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Ilsiella.elegans.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ilsiella.palustris" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kahlilembus.attenuatus" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"Keronopsis.dieckmanni" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kuehneltiella.namibiensis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kuklikophrya.ougandae" 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"Lamtostyla.australis" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamtostyla.decorata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamtostyla.edaphoni" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Lamtostyla.halophila.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"Lamtostyla.hyalina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamtostyla.islandica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamtostyla.kirkeniensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Leptopharynx.costatus" 0 1 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0
"Litonotus.muscorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Maryna.antarctica" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maryna.atra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maryna.lichenicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maryna.minima" 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0
"Maryna.namibiensis.namibiensis.n..sp..n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maryna.ovata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maryna.umbrellata" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"Meseres.corlissi" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Metacineta.namibiensis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Metopus.contortus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Metopus.gibbus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Metopus.hasei" 1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0
"Metopus.inversus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Metopus.minor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Metopus.ovalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Metopus.palaeformis" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Metopus.setosus" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Microdiaphanosoma.arcuatum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mykophagophrys.terricola" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0
"Nassula.dragescoi.n..sp." 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0
"Nassula.etoschensis.n..sp." 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"Nassula.granata.n..sp." 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0
"Nassula.longinassa" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nassula.parva" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"Nassula.tuberculata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nassulides.labiatus.n..comb." 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nassulides.pictus.n..comb." 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Naxella.lucida.n..comb." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Naxella.rosea.n..comb." 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nivaliella.plana" 0 1 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0
"Notoxoma.parabryophryides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nudiamphisiella.interrupta.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Obliquostoma.enchelyodontides.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Obliquostoma.namibiense.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Odontochlamys.alpestris.biciliata.n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Odontochlamys.convexa" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Opercularia.curvicaule" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Orthoamphisiella.breviseries.n..sp." 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"Ottowphrya.dragescoi.n..comb." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oxytricha.africana" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oxytricha.elegans" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Oxytricha.granulifera" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Oxytricha.granulifera.quadricirrata" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oxytricha.lanceolata" 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0
"Oxytricha.longa" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1
"Oxytricha.longigranulosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oxytricha.opisthomuscorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Oxytricha.siseris" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Parabryophrya.etoschensis.n..sp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paracineta.lauterborni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Paraenchelys.brachyarmata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paraenchelys.brachyoplites.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paraenchelys.pulchra.n..sp." 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paraenchelys.terricola" 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Paraenchelys.wenzeli" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Parafurgasonia.protectissima" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parafurgasonia.sorex" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Parafurgasonia.terricola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paragastrostyla.lanceolata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paragonostomum.binucleatum.n..sp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paragonostomum.caudatum.n..sp." 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0
"Paragonostomum.multinucleatum.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Paragonostomum.rarisetum.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paraholosticha.muscicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parakahliella.binucleata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Parakahliella.halophila.n..sp." 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"Parakahliella.namibicola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pedohymena.australiensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Periholosticha.lanceolata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Perisincirra.longicirrata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Perisincirra.paucicirrata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
